chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
emma_016	1	19	1	5	3	16	xvi the hair was curled and the maid sent away and emma sat down to think and be miserable
emma_016	2	11	0	0	2	18	such an overthrow of every thing she had been wishing for
emma_016	3	85	0	0	9	11	but he had fancied her in love with him that evidently must have been his dependence and after raving a little about the seeming incongruity of gentle manners and a conceited head emma was obliged in common honesty to stop and admit that her own behaviour to him had been so complaisant and obliging so full of courtesy and attention as supposing her real motive unperceived might warrant a man of ordinary observation and delicacy like mr elton in fancying himself a very decided favourite
emma_016	4	25	0	0	1	4	if she had so misinterpreted his feelings she had little right to wonder that he with self interest to blind him should have mistaken hers
emma_016	5	10	0	0	0	0	the first error and the worst lay at her door
emma_016	6	14	0	0	2	14	she was quite concerned and ashamed and resolved to do such things no more
emma_016	7	17	0	0	1	6	here have i said she actually talked poor harriet into being very much attached to this man
emma_016	8	42	1	2	5	12	she might never have thought of him but for me and certainly never would have thought of him with hope if i had not assured her of his attachment for she is as modest and humble as i used to think him
emma_016	9	13	1	8	1	8	that i had been satisfied with persuading her not to accept young martin
emma_016	10	25	1	4	2	8	i was introducing her into good company and giving her the opportunity of pleasing some one worth having i ought not to have attempted more
emma_016	11	26	2	8	1	4	to youth and natural cheerfulness like emma s though under temporary gloom at night the return of day will hardly fail to bring return of spirits
emma_016	12	35	2	6	1	3	emma got up on the morrow more disposed for comfort than she had gone to bed more ready to see alleviations of the evil before her and to depend on getting tolerably out of it
emma_016	13	81	2	2	6	7	it was a great consolation that mr elton should not be really in love with her or so particularly amiable as to make it shocking to disappoint him that harriet s nature should not be of that superior sort in which the feelings are most acute and retentive and that there could be no necessity for any body s knowing what had passed except the three principals and especially for her father s being given a moment s uneasiness about it
emma_016	14	42	1	2	4	10	but with all the hopes of cheerfulness and all the present comfort of delay there was still such an evil hanging over her in the hour of explanation with harriet as made it impossible for emma to be ever perfectly at ease
