chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
mansfield_028	1	16	1	6	1	6	xxviii her uncle and both her aunts were in the drawing room when fanny went down
mansfield_028	2	26	2	8	3	12	to the former she was an interesting object and he saw with pleasure the general elegance of her appearance and her being in remarkably good looks
mansfield_028	3	37	2	5	1	3	the neatness and propriety of her dress was all that he would allow himself to commend in her presence but upon her leaving the room again soon afterwards he spoke of her beauty with very decided praise
mansfield_028	4	57	5	9	4	7	from a variety of causes she was happy and she was soon made still happier for in following her aunts out of the room edmund who was holding open the door said as she passed him you must dance with me fanny you must keep two dances for me any two that you like except the first
mansfield_028	5	7	0	0	1	14	she had nothing more to wish for
mansfield_028	6	16	0	0	1	6	she had hardly ever been in a state so nearly approaching high spirits in her life
mansfield_028	7	68	0	0	8	12	her cousins former gaiety on the day of a ball was no longer surprising to her she felt it to be indeed very charming and was actually practising her steps about the drawing room as long as she could be safe from the notice of her aunt norris who was entirely taken up at first in fresh arranging and injuring the noble fire which the butler had prepared
mansfield_028	8	63	2	3	6	10	when the company were moving into the ballroom she found herself for the first time near miss crawford whose eyes and smiles were immediately and more unequivocally directed as her brother s had been and who was beginning to speak on the subject when fanny anxious to get the story over hastened to give the explanation of the second necklace the real chain
mansfield_028	9	37	0	0	3	8	not but that she was really pleased to have fanny admired but she was so much more struck with her own kindness in sending chapman to her that she could not get it out of her head
mansfield_028	10	8	0	0	1	12	but with  you  fanny there may be peace
