chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
northanger_024	1	57	2	4	3	5	miss tilney understanding in part her friend s curiosity to see the house soon revived the subject and her father being contrary to catherine s expectations unprovided with any pretence for further delay beyond that of stopping five minutes to order refreshments to be in the room by their return was at last ready to escort them
northanger_024	2	62	1	2	1	2	they set forward and with a grandeur of air a dignified step which caught the eye but could not shake the doubts of the well read catherine he led the way across the hall through the common drawing room and one useless antechamber into a room magnificent both in size and furniture the real drawing room used only with company of consequence
northanger_024	3	63	0	0	3	5	was all that catherine had to say for her indiscriminating eye scarcely discerned the colour of the satin and all minuteness of praise all praise that had much meaning was supplied by the general the costliness or elegance of any room s fitting up could be nothing to her she cared for no furniture of a more modern date than the fifteenth century
northanger_024	4	35	1	3	4	11	catherine heard admired and wondered with more genuine feeling than before gathered all that she could from this storehouse of knowledge by running over the titles of half a shelf and was ready to proceed
northanger_024	5	11	0	0	1	9	but suites of apartments did not spring up with her wishes
northanger_024	6	53	2	4	5	9	large as was the building she had already visited the greatest part though on being told that with the addition of the kitchen the six or seven rooms she had now seen surrounded three sides of the court she could scarcely believe it or overcome the suspicion of there being many chambers secreted
northanger_024	7	130	8	6	10	8	it was some relief however that they were to return to the rooms in common use by passing through a few of less importance looking into the court which with occasional passages not wholly unintricate connected the different sides and she was further soothed in her progress by being told that she was treading what had once been a cloister having traces of cells pointed out and observing several doors that were neither opened nor explained to her by finding herself successively in a billiard room and in the general s private apartment without comprehending their connection or being able to turn aright when she left them and lastly by passing through a dark little room owning henry s authority and strewed with his litter of books guns and greatcoats
northanger_024	8	105	2	2	10	10	catherine could have raved at the hand which had swept away what must have been beyond the value of all the rest for the purposes of mere domestic economy and would willingly have been spared the mortification of a walk through scenes so fallen had the general allowed it but if he had a vanity it was in the arrangement of his offices and as he was convinced that to a mind like miss morland s a view of the accommodations and comforts by which the labours of her inferiors were softened must always be gratifying he should make no apology for leading her on
northanger_024	9	20	0	0	1	5	they took a slight survey of all and catherine was impressed beyond her expectation by their multiplicity and their convenience
northanger_024	10	17	0	0	0	0	the number of servants continually appearing did not strike her less than the number of their offices
northanger_024	11	26	1	4	3	12	how they could get through it all had often amazed mrs allen and when catherine saw what was necessary here she began to be amazed herself
northanger_024	12	59	3	5	2	3	they returned to the hall that the chief staircase might be ascended and the beauty of its wood and ornaments of rich carving might be pointed out having gained the top they turned in an opposite direction from the gallery in which her room lay and shortly entered one on the same plan but superior in length and breadth
northanger_024	13	67	0	0	8	12	she was here shown successively into three large bed chambers with their dressing rooms most completely and handsomely fitted up everything that money and taste could do to give comfort and elegance to apartments had been bestowed on these and being furnished within the last five years they were perfect in all that would be generally pleasing and wanting in all that could give pleasure to catherine
northanger_024	14	49	2	4	4	8	as they were surveying the last the general after slightly naming a few of the distinguished characters by whom they had at times been honoured turned with a smiling countenance to catherine and ventured to hope that henceforward some of their earliest tenants might be our friends from fullerton
northanger_024	15	30	0	0	3	10	she felt the unexpected compliment and deeply regretted the impossibility of thinking well of a man so kindly disposed towards herself and so full of civility to all her family
northanger_024	16	59	2	3	5	8	the gallery was terminated by folding doors which miss tilney advancing had thrown open and passed through and seemed on the point of doing the same by the first door to the left in another long reach of gallery when the general coming forwards called her hastily and as catherine thought rather angrily back demanding whether she were going
northanger_024	17	79	5	6	4	5	miss tilney drew back directly and the heavy doors were closed upon the mortified catherine who having seen in a momentary glance beyond them a narrower passage more numerous openings and symptoms of a winding staircase believed herself at last within the reach of something worth her notice and felt as she unwillingly paced back the gallery that she would rather be allowed to examine that end of the house than see all the finery of all the rest
northanger_024	18	81	2	2	9	11	something was certainly to be concealed her fancy though it had trespassed lately once or twice could not mislead her here and what that something was a short sentence of miss tilney s as they followed the general at some distance downstairs seemed to point out i was going to take you into what was my mother s room the room in which she died were all her words but few as they were they conveyed pages of intelligence to catherine
northanger_024	19	16	1	6	2	12	catherine understood her the general must be watched from home before that room could be entered
northanger_024	20	7	0	0	1	14	said she in a tone of feeling
northanger_024	21	29	1	3	2	7	and nine years catherine knew was a trifle of time compared with what generally elapsed after the death of an injured wife before her room was put to rights
northanger_024	22	15	2	13	0	0	catherine s blood ran cold with the horrid suggestions which naturally sprang from these words
northanger_024	23	41	2	5	1	2	and when she saw him in the evening while she worked with her friend slowly pacing the drawing room for an hour together in silent thoughtfulness with downcast eyes and contracted brow she felt secure from all possibility of wronging him
northanger_024	24	21	0	0	0	0	and the anxiousness of her spirits directed her eyes towards his figure so repeatedly as to catch miss tilney s notice
