chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
persuasion_011	1	52	3	6	8	15	11 the time now approached for lady russell s return the day was even fixed and anne being engaged to join her as soon as she was resettled was looking forward to an early removal to kellynch and beginning to think how her own comfort was likely to be affected by it
persuasion_011	2	34	1	3	1	3	it would place her in the same village with captain wentworth within half a mile of him they would have to frequent the same church and there must be intercourse between the two families
persuasion_011	3	68	3	4	4	6	this was against her but on the other hand he spent so much of his time at uppercross that in removing thence she might be considered rather as leaving him behind than as going towards him and upon the whole she believed she must on this interesting question be the gainer almost as certainly as in her change of domestic society in leaving poor mary for lady russell
persuasion_011	4	95	4	4	9	9	captain wentworth talked of going there again himself it was only seventeen miles from uppercross though november the weather was by no means bad and in short louisa who was the most eager of the eager having formed the resolution to go and besides the pleasure of doing as she liked being now armed with the idea of merit in maintaining her own way bore down all the wishes of her father and mother for putting it off till summer and to lyme they were to go charles mary anne henrietta louisa and captain wentworth
persuasion_011	5	26	0	0	1	4	and yet said anne to herself as they now moved forward to meet the party he has not perhaps a more sorrowing heart than i have
persuasion_011	6	57	1	2	3	5	there was so much attachment to captain wentworth in all this and such a bewitching charm in a degree of hospitality so uncommon so unlike the usual style of give and take invitations and dinners of formality and display that anne felt her spirits not likely to be benefited by an increasing acquaintance among his brother officers
persuasion_011	7	21	0	0	2	10	these would have been all my friends was her thought and she had to struggle against a great tendency to lowness
persuasion_011	8	65	1	2	3	5	anne had a moment s astonishment on the subject herself but it was soon lost in the pleasanter feelings which sprang from the sight of all the ingenious contrivances and nice arrangements of captain harville to turn the actual space to the best account to supply the deficiencies of lodging house furniture and defend the windows and doors against the winter storms to be expected
persuasion_011	9	99	1	1	5	5	the varieties in the fitting up of the rooms where the common necessaries provided by the owner in the common indifferent plight were contrasted with some few articles of a rare species of wood excellently worked up and with something curious and valuable from all the distant countries captain harville had visited were more than amusing to anne connected as it all was with his profession the fruit of its labours the effect of its influence on his habits the picture of repose and domestic happiness it presented made it to her a something more or less than gratification
persuasion_011	10	79	3	4	6	8	anne thought she left great happiness behind her when they quitted the house and louisa by whom she found herself walking burst forth into raptures of admiration and delight on the character of the navy their friendliness their brotherliness their openness their uprightness protesting that she was convinced of sailors having more worth and warmth than any other set of men in england that they only knew how to live and they only deserved to be respected and loved
persuasion_011	11	57	1	2	5	9	anne found herself by this time growing so much more hardened to being in captain wentworth s company than she had at first imagined could ever be that the sitting down to the same table with him now and the interchange of the common civilities attending on it they never got beyond was become a mere nothing
persuasion_011	12	60	1	2	1	2	while captains wentworth and harville led the talk on one side of the room and by recurring to former days supplied anecdotes in abundance to occupy and entertain the others it fell to anne s lot to be placed rather apart with captain benwick and a very good impulse of her nature obliged her to begin an acquaintance with him
persuasion_011	13	33	0	0	3	9	he was shy and disposed to abstraction but the engaging mildness of her countenance and gentleness of her manners soon had their effect and anne was well repaid the first trouble of exertion
persuasion_011	14	75	0	0	3	4	he was evidently a young man of considerable taste in reading though principally in poetry and besides the persuasion of having given him at least an evening s indulgence in the discussion of subjects which his usual companions had probably no concern in she had the hope of being of real use to him in some suggestions as to the duty and benefit of struggling against affliction which had naturally grown out of their conversation
persuasion_011	15	67	1	1	7	10	when the evening was over anne could not but be amused at the idea of her coming to lyme to preach patience and resignation to a young man whom she had never seen before nor could she help fearing on more serious reflection that like many other great moralists and preachers she had been eloquent on a point in which her own conduct would ill bear examination
