chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
pride_020	1	71	5	7	2	3	20 mr collins was not left long to the silent contemplation of his successful love for mrs bennet having dawdled about in the vestibule to watch for the end of the conference no sooner saw elizabeth open the door and with quick step pass her towards the staircase than she entered the breakfast room and congratulated both him and herself in warm terms on the happy prospect of their nearer connection
pride_020	2	58	2	3	3	5	mr collins received and returned these felicitations with equal pleasure and then proceeded to relate the particulars of their interview with the result of which he trusted he had every reason to be satisfied since the refusal which his cousin had steadfastly given him would naturally flow from her bashful modesty and the genuine delicacy of her character
pride_020	3	5	1	20	1	20	elizabeth replied that it was
pride_020	4	7	0	0	1	14	an unhappy alternative is before you elizabeth
pride_020	5	32	2	6	3	9	elizabeth could not but smile at such a conclusion of such a beginning but mrs bennet who had persuaded herself that her husband regarded the affair as she wished was excessively disappointed
pride_020	6	13	1	8	0	0	she talked to elizabeth again and again coaxed and threatened her by turns
pride_020	7	31	1	3	0	0	she endeavoured to secure jane in her interest but jane with all possible mildness declined interfering and elizabeth sometimes with real earnestness and sometimes with playful gaiety replied to her attacks
pride_020	8	9	0	0	0	0	though her manner varied however her determination never did
pride_020	9	22	0	0	2	9	his regard for her was quite imaginary and the possibility of her deserving her mother s reproach prevented his feeling any regret
pride_020	10	12	1	8	1	8	charlotte s reply was spared by the entrance of jane and elizabeth
pride_020	11	32	1	3	3	9	aye there she comes continued mrs bennet looking as unconcerned as may be and caring no more for us than if we were at york provided she can have her own way
pride_020	12	61	3	5	2	3	elizabeth passed quietly out of the room jane and kitty followed but lydia stood her ground determined to hear all she could and charlotte detained first by the civility of mr collins whose enquiries after herself and all her family were very minute and then by a little curiosity satisfied herself with walking to the window and pretending not to hear
