chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
sense_004	1	16	0	0	1	6	what a pity it is elinor said marianne that edward should have no taste for drawing
sense_004	2	7	1	14	1	14	replied elinor why should you think so
sense_004	3	46	0	0	4	9	marianne was afraid of offending and said no more on the subject but the kind of approbation which elinor described as excited in him by the drawings of other people was very far from that rapturous delight which in her opinion could alone be called taste
sense_004	4	21	1	5	0	0	yet though smiling within herself at the mistake she honoured her sister for that blind partiality to edward which produced it
sense_004	5	15	0	0	1	7	i hope marianne continued elinor you do not consider him as deficient in general taste
sense_004	6	26	1	4	2	8	at length she replied do not be offended elinor if my praise of him is not in every thing equal to your sense of his merits
sense_004	7	21	2	10	2	10	i am sure replied elinor with a smile that his dearest friends could not be dissatisfied with such commendation as that
sense_004	8	28	1	4	4	14	of his sense and his goodness continued elinor no one can i think be in doubt who has seen him often enough to engage him in unreserved conversation
sense_004	9	13	0	0	1	8	i shall very soon think him handsome elinor if i do not now
sense_004	10	20	1	5	3	15	elinor started at this declaration and was sorry for the warmth she had been betrayed into in speaking of him
sense_004	11	10	1	10	1	10	she felt that edward stood very high in her opinion
sense_004	12	25	2	8	4	16	she believed the regard to be mutual but she required greater certainty of it to make marianne s conviction of their attachment agreeable to her
sense_004	13	5	1	20	0	0	elinor could not help laughing
sense_004	14	25	3	12	1	4	excuse me said she and be assured that i meant no offence to you by speaking in so quiet a way of my own feelings
sense_004	15	9	0	0	0	0	elinor had given her real opinion to her sister
sense_004	16	18	0	0	1	6	she could not consider her partiality for edward in so prosperous a state as marianne had believed it
sense_004	17	17	0	0	3	18	with such a knowledge as this it was impossible for elinor to feel easy on the subject
sense_004	18	22	0	0	1	5	she was far from depending on that result of his preference of her which her mother and sister still considered as certain
sense_004	19	31	0	0	6	19	nay the longer they were together the more doubtful seemed the nature of his regard and sometimes for a few painful minutes she believed it to be no more than friendship
sense_004	20	40	2	5	3	8	she gave her an answer which marked her contempt and instantly left the room resolving that whatever might be the inconvenience or expense of so sudden a removal her beloved elinor should not be exposed another week to such insinuations
sense_004	21	24	0	0	2	8	elinor had always thought it would be more prudent for them to settle at some distance from norland than immediately amongst their present acquaintance
sense_004	22	19	0	0	1	5	on  that  head therefore it was not for her to oppose her mother s intention of removing into devonshire
sense_004	23	73	5	7	5	7	the house too as described by sir john was on so simple a scale and the rent so uncommonly moderate as to leave her no right of objection on either point and therefore though it was not a plan which brought any charm to her fancy though it was a removal from the vicinity of norland beyond her wishes she made no attempt to dissuade her mother from sending a letter of acquiescence
