chapter	id	size	necessary count	necessary percentage	unnecessary count	unnecessary percentage	sentence
sense_012	1	45	1	2	2	4	as elinor and marianne were walking together the next morning the latter communicated a piece of news to her sister which in spite of all that she knew before of marianne s imprudence and want of thought surprised her by its extravagant testimony of both
sense_012	2	16	0	0	2	12	imagine to yourself my dear elinor the delight of a gallop on some of these downs
sense_012	3	32	2	6	1	3	most unwilling was she to awaken from such a dream of felicity to comprehend all the unhappy truths which attended the affair and for some time she refused to submit to them
sense_012	4	26	0	0	1	4	elinor then ventured to doubt the propriety of her receiving such a present from a man so little or at least so lately known to her
sense_012	5	15	0	0	1	7	you are mistaken elinor said she warmly in supposing i know very little of willoughby
sense_012	6	10	0	0	1	10	elinor thought it wisest to touch that point no more
sense_012	7	6	0	0	1	17	she knew her sister s temper
sense_012	8	16	0	0	0	0	opposition on so tender a subject would only attach her the more to her own opinion
sense_012	9	70	5	7	3	4	but by an appeal to her affection for her mother by representing the inconveniences which that indulgent mother must draw on herself if as would probably be the case she consented to this increase of establishment marianne was shortly subdued and she promised not to tempt her mother to such imprudent kindness by mentioning the offer and to tell willoughby when she saw him next that it must be declined
sense_012	10	38	1	3	2	5	she was faithful to her word and when willoughby called at the cottage the same day elinor heard her express her disappointment to him in a low voice on being obliged to forego the acceptance of his present
sense_012	11	2	0	0	0	0	oh elinor
sense_012	12	12	1	8	0	0	she cried i have such a secret to tell you about marianne
sense_012	13	53	2	4	3	6	you have said so replied elinor almost every day since they first met on high church down and they had not known each other a week i believe before you were certain that marianne wore his picture round her neck but it turned out to be only the miniature of our great uncle
sense_012	14	7	0	0	1	14	but indeed elinor it is marianne s
sense_012	15	34	1	3	2	6	for such particulars stated on such authority elinor could not withhold her credit nor was she disposed to it for the circumstance was in perfect unison with what she had heard and seen herself
sense_012	16	51	3	6	3	6	when mrs jennings attacked her one evening at the park to give the name of the young man who was elinor s particular favourite which had been long a matter of great curiosity to her margaret answered by looking at her sister and saying i must not tell may i elinor
sense_012	17	13	4	31	0	0	this of course made every body laugh and elinor tried to laugh too
sense_012	18	26	0	0	2	8	she was convinced that margaret had fixed on a person whose name she could not bear with composure to become a standing joke with mrs jennings
sense_012	19	75	0	0	8	11	well then he is lately dead marianne for i am sure there was such a man once and his name begins with an f most grateful did elinor feel to lady middleton for observing at this moment that it rained very hard though she believed the interruption to proceed less from any attention to her than from her ladyship s great dislike of all such inelegant subjects of raillery as delighted her husband and mother
sense_012	20	36	0	0	4	11	the idea however started by her was immediately pursued by colonel brandon who was on every occasion mindful of the feelings of others and much was said on the subject of rain by both of them
sense_012	21	16	0	0	0	0	but not so easily did elinor recover from the alarm into which it had thrown her
sense_012	22	44	1	2	1	2	to some few of the company it appeared rather a bold undertaking considering the time of year and that it had rained every day for the last fortnight and mrs dashwood who had already a cold was persuaded by elinor to stay at home
