paragraphId	sentenceID	tokenId	beginOffset	endOffset	whitespaceAfter	headTokenId	originalWord	normalizedWord	lemma	pos	ner	deprel	inQuotation	characterId	supersense
0	0	0	0	5		-1	XLIII	XLIII	xliii	CD	NUMBER	null	O	-1	O
0	0	1	5	6	NNN	0	.	.	.	.	O	punct	O	-1	O
1	1	2	9	17	S	3	Marianne	Marianne	Marianne	NNP	PERSON	nsubj	O	4	B-noun.person
1	1	3	18	21	S	-1	got	got	get	VBD	O	null	O	-1	B-verb.motion
1	1	4	22	24	S	3	up	up	up	RP	O	prt	O	-1	O
1	1	5	25	28	S	7	the	the	the	DT	DATE	det	O	-1	O
1	1	6	29	33	S	7	next	next	next	JJ	DATE	amod	O	-1	O
1	1	7	34	41	S	3	morning	morning	morning	NN	DATE	tmod	O	-1	B-noun.time
1	1	8	42	44	S	3	at	at	at	IN	O	prep	O	-1	O
1	1	9	45	48	S	11	her	her	she	PRP$	O	poss	O	4	O
1	1	10	49	54	S	11	usual	usual	usual	JJ	O	amod	O	-1	O
1	1	11	55	59		8	time	time	time	NN	O	pobj	O	-1	B-noun.time
1	1	12	59	60	S	3	;	;	;	:	O	punct	O	-1	O
1	1	13	61	63	S	16	to	to	to	TO	O	aux	O	-1	O
1	1	14	64	69	S	15	every	every	every	DT	O	det	O	-1	O
1	1	15	70	77	N	16	inquiry	inquiry	inquiry	NN	O	nsubj	O	-1	B-noun.cognition
1	1	16	78	85	S	3	replied	replied	reply	VBD	O	conj	O	-1	B-verb.communication
1	1	17	86	90	S	20	that	that	that	IN	O	complm	O	-1	O
1	1	18	91	94	S	20	she	she	she	PRP	O	nsubj	O	4	O
1	1	19	95	98	S	20	was	was	be	VBD	O	cop	O	-1	B-verb.stative
1	1	20	99	105		16	better	better	better	RBR	O	ccomp	O	-1	O
1	1	21	105	106	S	3	,	,	,	,	O	punct	O	-1	O
1	1	22	107	110	S	3	and	and	and	CC	O	cc	O	-1	O
1	1	23	111	116	S	3	tried	tried	try	VBD	O	conj	O	-1	B-verb.social
1	1	24	117	119	S	25	to	to	to	TO	O	aux	O	-1	O
1	1	25	120	125	S	23	prove	prove	prove	VB	O	xcomp	O	-1	B-verb.cognition
1	1	26	126	133	S	25	herself	herself	herself	PRP	O	dobj	O	-1	O
1	1	27	134	136		25	so	so	so	RB	O	advmod	O	-1	O
1	1	28	136	137	S	25	,	,	,	,	O	punct	O	-1	O
1	1	29	138	140	S	25	by	by	by	IN	O	prep	O	-1	O
1	1	30	141	149	N	29	engaging	engaging	engage	VBG	O	pcomp	O	-1	B-verb.social
1	1	31	150	152	S	30	in	in	in	IN	O	prep	O	-1	O
1	1	32	153	156	S	34	her	her	she	PRP$	O	poss	O	4	O
1	1	33	157	168	S	34	accustomary	accustomary	accustomary	JJ	O	amod	O	-1	O
1	1	34	169	180		31	employments	employments	employment	NNS	O	pobj	O	-1	B-noun.state
1	1	35	180	181	S	3	.	.	.	.	O	punct	O	-1	O
1	2	36	182	185	S	74	But	But	but	CC	O	cc	O	-1	O
1	2	37	186	187	S	38	a	a	a	DT	DURATION	det	O	-1	O
1	2	38	188	191	S	74	day	day	day	NN	DURATION	nsubj	O	-1	B-noun.time
1	2	39	192	197	S	38	spent	spent	spend	VBN	O	partmod	O	-1	B-verb.stative
1	2	40	198	200	S	39	in	in	in	IN	O	prep	O	-1	O
1	2	41	201	208	S	40	sitting	sitting	sit	VBG	O	pcomp	O	-1	B-verb.contact
1	2	42	209	218	N	41	shivering	shivering	shiver	VBG	O	dep	O	-1	B-verb.motion
1	2	43	219	223	S	42	over	over	over	IN	O	prep	O	-1	O
1	2	44	224	227	S	45	the	the	the	DT	O	det	O	-1	O
1	2	45	228	232	S	43	fire	fire	fire	NN	CAUSE_OF_DEATH	pobj	O	-1	B-noun.act
1	2	46	233	237	S	45	with	with	with	IN	O	prep	O	-1	O
1	2	47	238	239	S	48	a	a	a	DT	O	det	O	-1	O
1	2	48	240	244	S	46	book	book	book	NN	O	pobj	O	-1	B-noun.communication
1	2	49	245	247	S	48	in	in	in	IN	O	prep	O	-1	O
1	2	50	248	251	S	51	her	her	she	PRP$	O	poss	O	4	O
1	2	51	252	256		49	hand	hand	hand	NN	O	pobj	O	-1	B-noun.body
1	2	52	256	257	S	48	,	,	,	,	O	punct	O	-1	O
1	2	53	258	263	S	56	which	which	which	WDT	O	dobj	O	-1	O
1	2	54	264	267	S	56	she	she	she	PRP	O	nsubj	O	4	O
1	2	55	268	271	S	56	was	was	be	VBD	O	cop	O	-1	B-verb.stative
1	2	56	272	278	S	48	unable	unable	unable	JJ	O	rcmod	O	-1	O
1	2	57	279	281	S	58	to	to	to	TO	O	aux	O	-1	O
1	2	58	282	286		56	read	read	read	VB	O	xcomp	O	-1	B-verb.cognition
1	2	59	286	287	S	48	,	,	,	,	O	punct	O	-1	O
1	2	60	288	290	N	46	or	or	or	CC	O	cc	O	-1	O
1	2	61	291	293	S	46	in	in	in	IN	O	conj	O	-1	O
1	2	62	294	299		61	lying	lying	lie	VBG	O	pcomp	O	-1	B-verb.stative
1	2	63	299	300	S	62	,	,	,	,	O	punct	O	-1	O
1	2	64	301	306	S	62	weary	weary	weary	JJ	O	conj	O	-1	O
1	2	65	307	310	S	62	and	and	and	CC	O	cc	O	-1	O
1	2	66	311	318		62	languid	languid	languid	JJ	O	conj	O	-1	O
1	2	67	318	319	S	74	,	,	,	,	O	punct	O	-1	O
1	2	68	320	322	S	74	on	on	on	IN	O	prep	O	-1	O
1	2	69	323	324	S	70	a	a	a	DT	O	det	O	-1	O
